,segment_id,wellbore_chev_no_id,area_id,formation_id,bit_model_id,drillbit_size,min_depth,max_depth,rate_of_penetration,surface_weight_on_bit,surface_rpm
0,727,0,0,62,1,12.25,21834.5,21839.5,99.61465038,43.53327977,150.3690907
1,728,0,0,61,1,12.25,21840.0,21869.5,99.35402133,42.3820329,150.3690008
2,729,0,0,59,1,12.25,21870.0,21899.5,83.62290732,48.67512856,150.4293345
3,730,0,0,65,1,12.25,21900.0,21929.5,85.42773094,30.04129035,150.07999980000002
4,731,0,0,65,1,12.25,21930.0,21959.5,100.63981120000001,31.4063192,150.03216709999998
5,732,0,0,64,1,12.25,21960.0,21989.5,101.1601393,31.75538378,149.9996651
6,733,0,0,63,1,12.25,21990.0,22019.5,101.2510223,38.83993912,149.9866666
7,734,0,0,63,1,12.25,22020.0,22049.5,94.21099739,32.60122485,149.91916609999998
8,735,0,0,63,1,12.25,22050.0,22079.5,100.9669949,25.65776548,149.8298335
9,736,0,0,63,1,12.25,22080.0,22109.5,101.3501052,26.77440739,149.8278328
10,737,0,0,63,1,12.25,22110.0,22139.5,83.7016428,27.67646561,133.5178324
11,738,0,0,63,1,12.25,22140.0,22169.5,81.87035408,38.43171706,139.949833
12,739,0,0,63,1,12.25,22170.0,22199.5,94.23412164,23.82278426,149.50366719999997
13,740,0,0,63,1,12.25,22200.0,22229.5,86.26073271,27.61436815,141.16466599999998
14,741,0,0,63,1,12.25,22230.0,22259.5,101.6797184,31.89941978,150.1023323
15,742,0,0,63,1,12.25,22260.0,22289.5,90.99164225,32.85291878,134.4713334
16,743,0,0,63,1,12.25,22290.0,22319.5,88.92970505,32.60783846,120.67833300000001
17,744,0,0,63,1,12.25,22320.0,22349.5,99.16251094,29.07088776,120.87649990000001
18,745,0,0,63,1,12.25,22350.0,22379.5,85.71410217,29.6646678,120.8698331
19,746,0,0,63,1,12.25,22380.0,22409.5,85.50563221,33.64217412,140.8256658
20,747,0,0,63,1,12.25,22410.0,22439.5,99.29707667,33.82148342,150.057166
21,748,0,0,63,1,12.25,22440.0,22469.5,90.32127679,28.54288162,150.4941676
22,749,0,0,33,1,12.25,22470.0,22499.5,98.78845024,32.55051769,150.5055
23,750,0,0,33,1,12.25,22500.0,22529.5,98.09635328,36.33034318,150.4671677
24,751,0,0,33,1,12.25,22530.0,22559.5,98.02620303,38.59044959,150.5731677
25,752,0,0,33,1,12.25,22560.0,22589.5,92.39103781,33.99895544,150.1905006
26,753,0,0,33,1,12.25,22590.0,22619.5,101.5140729,31.256037300000003,149.94483259999998
27,754,0,0,33,1,12.25,22620.0,22649.5,87.30987307,33.56133699,149.98383280000002
28,755,0,0,33,1,12.25,22650.0,22679.5,87.26877975,39.92645035,150.00399960000001
29,756,0,0,71,1,12.25,22680.0,22709.5,91.98197009,28.64135505,149.96683149999998
30,757,0,0,69,1,12.25,22710.0,22739.5,72.58734292,18.91342015,150.4972883
31,758,0,0,68,1,12.25,22740.0,22769.5,78.50662524,29.45081889,150.48483430000002
32,759,0,0,67,1,12.25,22770.0,22799.5,78.48567568,33.59183486,150.4418348
33,760,0,0,67,1,12.25,22800.0,22829.5,80.26003354,35.74611877,150.4445
34,761,0,0,67,1,12.25,22830.0,22859.5,74.48189831,37.19088135,150.220666
35,762,0,0,67,1,12.25,22860.0,22889.5,78.28409665,39.28747711,150.05933180000002
36,763,0,0,67,1,12.25,22890.0,22919.5,81.8668677,43.10478185,150.0621653
37,764,0,0,67,1,12.25,22920.0,22949.5,77.34459140000001,46.21697369,150.0544996
38,765,0,0,67,1,12.25,22950.0,22979.5,69.22244517,46.1611234,149.8474991
39,766,0,0,67,1,12.25,22980.0,23009.5,77.45935688,31.08554643,149.95499980000002
40,767,0,0,67,1,12.25,23010.0,23039.5,81.97346039,35.9956083,149.96949840000002
41,768,0,0,67,1,12.25,23040.0,23069.5,81.59272016,41.74122238,149.9451663
42,769,0,0,67,1,12.25,23070.0,23099.5,81.61146952,44.87656352,149.9536662
43,770,0,0,67,1,12.25,23100.0,23129.5,75.41075993,45.44829617,149.4691655
44,771,0,0,67,1,12.25,23130.0,23159.5,79.17023099,42.51357594,149.1701655
45,772,0,0,72,1,12.25,23160.0,23189.5,72.11300074,46.21366666,149.11199950000002
46,773,0,0,80,1,12.25,23190.0,23219.5,72.0825044,51.11821696,149.1679995
47,774,0,0,76,1,12.25,23220.0,23249.5,69.45090141,47.99132783,149.23316599999998
48,775,0,0,76,1,12.25,23250.0,23279.5,70.9673989,38.44494406,149.7024989
49,776,0,0,76,1,12.25,23280.0,23309.5,69.32772713,42.49630483,149.7253314
50,777,0,0,76,1,12.25,23310.0,23339.5,78.62248294,42.67451223,149.7250003
51,778,0,0,76,1,12.25,23340.0,23369.5,81.69218763,49.53676828,149.77016630000003
52,779,0,0,76,1,12.25,23370.0,23399.5,76.90479628,42.14613762,150.14716669999999
53,780,0,0,76,1,12.25,23400.0,23429.5,77.41586227,37.40362778,150.3385
54,781,0,0,76,1,12.25,23430.0,23459.5,79.29413687,40.1957811,148.9193336
55,782,0,0,76,1,12.25,23460.0,23489.5,76.86960506,42.600657399999996,149.9513331
56,783,0,0,82,1,12.25,23490.0,23519.5,74.35216707,42.94127185,150.0271665
57,784,0,0,82,1,12.25,23520.0,23549.5,75.27378527,37.52157523,150.25616580000002
58,785,0,0,81,1,12.25,23550.0,23579.5,72.16557922,37.31654482,150.1796656
59,786,0,0,81,1,12.25,23580.0,23609.5,75.77621117,44.62266452,149.9260005
60,787,0,0,81,1,12.25,23610.0,23639.5,70.44967264,44.07077338,149.717499
61,788,0,0,81,1,12.25,23640.0,23669.5,69.23517183,27.02352918,149.6644992
62,789,0,0,81,1,12.25,23670.0,23699.5,70.12941405,21.84854514,150.01516569999998
63,790,0,0,81,1,12.25,23700.0,23729.5,71.4793932,20.81457713,150.39183480000003
64,791,0,0,81,1,12.25,23730.0,23759.5,72.02198575,24.45514364,150.31116609999998
65,792,0,0,81,1,12.25,23760.0,23789.5,55.77551384,28.50136142,150.29733430000002
66,793,0,0,81,1,12.25,23790.0,23819.5,49.64148547,22.96445182,149.8124992
67,794,0,0,81,1,12.25,23820.0,23849.5,52.12929688,20.11093537,149.85383280000002
68,795,0,0,81,1,12.25,23850.0,23879.5,52.20567271,22.42064501,149.8313324
69,796,0,0,81,1,12.25,23880.0,23909.5,52.53409125,26.21810687,149.7620003
70,797,0,0,81,1,12.25,23910.0,23939.5,51.57646675,26.30923106,149.8685
